index;Sku;Style Id;Catalog;Category;Weight;TP 1;TP 2;MRP Old;Final MRP Old;Ajio MRP;Amazon MRP;Amazon FBA MRP;Flipkart MRP;Limeroad MRP;Myntra MRP;Paytm MRP;Snapdeal MRP;Custom_Size
37;Os181_5051_M;Os181_5051;Colors-8;Kurta;0.3;438;354.78;1778;1895;1895;1895;1895;1895;1895;1895;1895;1895;M
38;Os181_5051_L;Os181_5051;Colors-8;Kurta;0.3;438;354.78;1778;1895;1895;1895;1895;1895;1895;1895;1895;1895;L
39;Os181_5051_XL;Os181_5051;Colors-8;Kurta;0.3;438;354.78;1778;1895;1895;1895;1895;1895;1895;1895;1895;1895;XL
40;Os181_5051_2XL;Os181_5051;Colors-8;Kurta;0.3;438;354.78;1778;1895;1895;1895;1895;1895;1895;1895;1895;1895;2XL
41;Os181_5051_3XL;Os181_5051;Colors-8;Kurta;0.3;438;354.78;1778;1895;1895;1895;1895;1895;1895;1895;1895;1895;3XL
42;Os191_5052_S;Os191_5052;Colors-8;Kurta;0.3;438;354.78;1778;1895;1895;1895;1895;1895;1895;1895;1895;1895;S
43;Os191_5052_M;Os191_5052;Colors-8;Kurta;0.3;438;354.78;1778;1895;1895;1895;1895;1895;1895;1895;1895;1895;M
44;Os191_5052_L;Os191_5052;Colors-8;Kurta;0.3;438;354.78;1778;1895;1895;1895;1895;1895;1895;1895;1895;1895;L
45;Os191_5052_XL;Os191_5052;Colors-8;Kurta;0.3;438;354.78;1778;1895;1895;1895;1895;1895;1895;1895;1895;1895;XL
46;Os191_5052_2XL;Os191_5052;Colors-8;Kurta;0.3;438;354.78;1778;1895;1895;1895;1895;1895;1895;1895;1895;1895;2XL
47;Os191_5052_3XL;Os191_5052;Colors-8;Kurta;0.3;438;354.78;1778;1895;1895;1895;1895;1895;1895;1895;1895;1895;3XL
48;Os197_5053_S;Os197_5053;Colors-8;Kurta;0.3;438;354.78;1895;1895;1895;1895;1895;1895;1895;1895;1895;1895;S
49;Os197_5053_M;Os197_5053;Colors-8;Kurta;0.3;438;354.78;1895;1895;1895;1895;1895;1895;1895;1895;1895;1895;M
50;Os197_5053_L;Os197_5053;Colors-8;Kurta;0.3;438;354.78;1895;1895;1895;1895;1895;1895;1895;1895;1895;1895;L
51;Os197_5053_XL;Os197_5053;Colors-8;Kurta;0.3;438;354.78;1895;1895;1895;1895;1895;1895;1895;1895;1895;1895;XL
52;Os197_5053_2XL;Os197_5053;Colors-8;Kurta;0.3;438;354.78;1895;1895;1895;1895;1895;1895;1895;1895;1895;1895;2XL
53;Os197_5053_3XL;Os197_5053;Colors-8;Kurta;0.3;438;354.78;1895;1895;1895;1895;1895;1895;1895;1895;1895;1895;3XL
54;OS219_5054_S;OS219_5054;Colors-8;Kurta;0.3;438;354.78;1778;1895;1895;1895;1895;1895;1895;1895;1895;1895;S
55;OS219_5054_M;OS219_5054;Colors-8;Kurta;0.3;438;354.78;1778;1895;1895;1895;1895;1895;1895;1895;1895;1895;M
56;OS219_5054_L;OS219_5054;Colors-8;Kurta;0.3;438;354.78;1778;1895;1895;1895;1895;1895;1895;1895;1895;1895;L
57;OS219_5054_XL;OS219_5054;Colors-8;Kurta;0.3;438;354.78;1778;1895;1895;1895;1895;1895;1895;1895;1895;1895;XL
58;OS219_5054_2XL;OS219_5054;Colors-8;Kurta;0.3;438;354.78;1778;1895;1895;1895;1895;1895;1895;1895;1895;1895;2XL
59;OS219_5054_3XL;OS219_5054;Colors-8;Kurta;0.3;438;354.78;1778;1895;1895;1895;1895;1895;1895;1895;1895;1895;3XL
60;Os195_5055_S;Os195_5055;Colors-8;Kurta;0.3;438;354.78;1778;1895;1895;1895;1895;1895;1895;1895;1895;1895;S
61;Os195_5055_M;Os195_5055;Colors-8;Kurta;0.3;438;354.78;1778;1895;1895;1895;1895;1895;1895;1895;1895;1895;M
62;Os195_5055_L;Os195_5055;Colors-8;Kurta;0.3;438;354.78;1778;1895;1895;1895;1895;1895;1895;1895;1895;1895;L
63;Os195_5055_XL;Os195_5055;Colors-8;Kurta;0.3;438;354.78;1778;1895;1895;1895;1895;1895;1895;1895;1895;1895;XL
64;Os195_5055_2XL;Os195_5055;Colors-8;Kurta;0.3;438;354.78;1778;1895;1895;1895;1895;1895;1895;1895;1895;1895;2XL
65;Os195_5055_3XL;Os195_5055;Colors-8;Kurta;0.3;438;354.78;1778;1895;1895;1895;1895;1895;1895;1895;1895;1895;3XL
66;Os189_5056_S;Os189_5056;Colors-8;Kurta;0.3;438;354.78;1778;1895;1895;1895;1895;1895;1895;1895;1895;1895;S
67;Os189_5056_M;Os189_5056;Colors-8;Kurta;0.3;438;354.78;1778;1895;1895;1895;1895;1895;1895;1895;1895;1895;M
68;Os189_5056_L;Os189_5056;Colors-8;Kurta;0.3;438;354.78;1778;1895;1895;1895;1895;1895;1895;1895;1895;1895;L
69;Os189_5056_XL;Os189_5056;Colors-8;Kurta;0.3;438;354.78;1778;1895;1895;1895;1895;1895;1895;1895;1895;1895;XL
70;Os189_5056_2XL;Os189_5056;Colors-8;Kurta;0.3;438;354.78;1778;1895;1895;1895;1895;1895;1895;1895;1895;1895;2XL
71;Os189_5056_3XL;Os189_5056;Colors-8;Kurta;0.3;438;354.78;1778;1895;1895;1895;1895;1895;1895;1895;1895;1895;3XL
72;Os182_5057_S;Os182_5057;Colors-8;Kurta;0.3;438;354.78;1895;254;1895;1895;1895;1895;1895;1895;1895;1895;S
73;Os182_5057_M;Os182_5057;Colors-8;Kurta;0.3;438;354.78;1895;1895;1895;1895;1895;1895;1895;1895;1895;1895;M
74;Os182_5057_L;Os182_5057;Colors-8;Kurta;0.3;438;354.78;1895;1895;1895;1895;1895;1895;1895;1895;1895;1895;L
75;Os182_5057_XL;Os182_5057;Colors-8;Kurta;0.3;438;354.78;1895;1895;1895;1895;1895;1895;1895;1895;1895;1895;XL
76;Os182_5057_2XL;Os182_5057;Colors-8;Kurta;0.3;438;354.78;1895;1895;1895;1895;1895;1895;1895;1895;1895;1895;2XL
